city,timestamp,pm25,pm10,no2,aqi,anomaly_score,severity
Delhi,2025-05-31 13:21:22.505492,132.6,189.72,32.23,190.8,-0.01574899971251642,Medium
Delhi,2025-06-01 19:21:22.505492,102.83,178.33,72.86,175.4,-0.032010411421381835,Medium
Delhi,2025-06-02 13:21:22.505492,114.21,195.51,44.45,181.3,-0.014996980237269364,Medium
Delhi,2025-06-03 07:21:22.505492,100.26,160.12,61.8,174.1,-0.0006859193854039658,Medium
Delhi,2025-06-05 07:21:22.505492,123.92,187.37,46.07,186.3,-0.026373277032625486,Medium
Delhi,2025-06-05 13:21:22.505492,113.15,162.84,51.62,180.8,-0.015446459593807638,Medium
Delhi,2025-06-08 13:21:22.505492,126.75,209.27,54.39,187.8,-0.02105675603052115,Medium
Delhi,2025-06-15 07:21:22.505492,125.5,212.66,60.18,187.1,-0.012894105907433118,Medium
Delhi,2025-06-16 01:21:22.505492,112.8,187.86,56.9,180.6,-0.00046139686389190526,Medium
Delhi,2025-06-18 07:21:22.505492,103.54,172.51,54.74,175.8,-0.007121775040204836,Medium
Delhi,2025-06-25 13:21:22.505492,121.33,213.29,31.97,185.0,-0.004459454608776614,Medium
Delhi,2025-06-26 07:21:22.505492,218.54,309.46,18.03,268.4,-0.11055313077942752,High
Delhi,2025-06-26 19:21:22.505492,222.48,327.58,29.93,272.3,-0.10016189824688726,High
Delhi,2025-06-27 01:21:22.505492,103.35,160.86,13.9,175.7,-0.003956404042761874,Medium
Delhi,2025-06-27 07:21:22.505492,101.13,175.1,20.76,174.6,-0.002104902145863452,Medium
Delhi,2025-06-27 13:21:22.505492,102.82,177.08,71.15,175.4,-0.02527548557255721,Medium
Delhi,2025-06-28 19:21:22.505492,234.0,332.11,28.69,283.7,-0.10442852198979102,High
Delhi,2025-06-29 13:21:22.505492,129.33,205.03,55.15,189.1,-0.02926468468562582,Medium
Delhi,2025-06-29 19:21:22.505492,76.15,122.87,15.32,161.7,-0.003754462666430647,Medium
Delhi,2025-07-03 07:21:22.505492,227.51,395.99,52.58,277.3,-0.11266598065584477,High
Delhi,2025-07-06 19:21:22.505492,213.72,350.67,53.92,263.7,-0.12452445736139106,High
Delhi,2025-07-07 19:21:22.505492,95.05,166.27,13.59,171.4,-0.01259024602389891,Medium
Delhi,2025-07-08 13:21:22.505492,244.41,378.18,34.41,294.1,-0.1266695412054485,High
Delhi,2025-07-09 13:21:22.505492,255.09,452.34,49.46,304.7,-0.12245322903042388,High
Delhi,2025-07-12 07:21:22.505492,223.65,382.17,16.55,273.5,-0.12657167858544516,High
Delhi,2025-07-13 13:21:22.505492,115.69,203.16,78.84,182.1,-0.026195271317541846,Medium
Delhi,2025-07-17 13:21:22.505492,260.33,378.15,39.09,308.8,-0.11432613511970757,High
Delhi,2025-07-19 07:21:22.505492,106.53,156.25,56.9,177.3,-0.004751031046328458,Medium
Delhi,2025-07-19 13:21:22.505492,117.35,167.65,60.94,182.9,-0.0012964784988226397,Medium
Delhi,2025-07-20 13:21:22.505492,123.05,213.3,73.47,185.9,-0.07755786962015487,Medium
Delhi,2025-07-23 13:21:22.505492,100.47,166.69,44.16,174.2,-0.025436776088975765,Medium
Delhi,2025-07-29 13:21:22.505492,126.34,215.22,16.54,187.6,-0.022604802139898794,Medium
Delhi,2025-07-30 07:21:22.505492,218.47,325.61,40.51,268.4,-0.10717641807235156,High
Delhi,2025-08-06 01:21:22.505492,100.6,167.95,23.04,174.3,-0.0022033551314067923,Medium
Delhi,2025-08-11 13:21:22.505492,108.78,182.97,65.28,178.5,-0.05892380077212955,Medium
Delhi,2025-08-12 13:21:22.505492,230.58,365.7,52.31,280.4,-0.11835225050723353,High
Delhi,2025-08-15 07:21:22.505492,92.31,134.85,58.43,170.0,-0.007331850283462393,Medium
Delhi,2025-08-26 19:21:22.505492,99.06,178.14,2.68,173.5,-0.007942431734759614,Medium
Delhi,2025-08-27 07:21:22.505492,108.86,160.54,40.0,178.6,-0.01429429534769755,Medium
Delhi,2025-08-29 13:21:22.505492,118.79,210.95,19.21,183.7,-0.013500425759654044,Medium
Delhi,2025-08-30 13:21:22.505492,98.46,175.57,60.19,173.2,-0.021024215057238504,Medium
Delhi,2025-08-31 07:21:22.505492,107.98,175.27,68.46,178.1,-0.009260848155909551,Medium
Delhi,2025-09-02 07:21:22.505492,99.81,158.57,67.87,173.9,-0.03184184241024379,Medium
Delhi,2025-09-03 19:21:22.505492,88.84,125.1,49.06,168.2,-0.004699409190769832,Medium
Delhi,2025-09-10 07:21:22.505492,209.2,324.81,44.04,259.2,-0.11639902957583836,High
Delhi,2025-09-13 07:21:22.505492,226.58,369.19,51.41,276.4,-0.11458048102051754,High
Delhi,2025-09-22 19:21:22.505492,237.68,355.72,17.32,287.4,-0.1357719951310008,High
Delhi,2025-09-24 13:21:22.505492,86.03,126.7,16.27,166.8,-0.00239734706001804,Medium
Delhi,2025-10-03 13:21:22.505492,208.1,346.81,40.53,258.1,-0.09333733975470082,Medium
Delhi,2025-10-10 19:21:22.505492,207.45,298.52,58.45,257.4,-0.12118595698454515,High
Delhi,2025-10-28 13:21:22.505492,110.31,187.02,55.35,179.3,-0.016105072526227726,Medium
Delhi,2025-11-04 07:21:22.505492,94.49,155.12,61.63,171.1,-0.009878242978914598,Medium
Delhi,2025-12-01 07:21:22.505492,111.98,164.72,67.51,180.2,-0.006485225859818811,Medium
Delhi,2025-12-03 19:21:22.505492,94.34,149.88,20.71,171.1,-0.00323229690564808,Medium
Delhi,2025-12-17 01:21:22.505492,103.74,186.67,13.55,175.9,-0.01247429791514143,Medium
Delhi,2025-12-23 13:21:22.505492,112.68,191.26,7.96,180.5,-0.022482650817469696,Medium
Delhi,2025-12-29 01:21:22.505492,93.45,151.39,68.54,170.6,-0.025161562824843386,Medium
Delhi,2025-12-31 07:21:22.505492,200.98,303.41,54.67,251.0,-0.09618485863004722,Medium
Delhi,2026-01-04 01:21:22.505492,221.29,311.56,32.19,271.1,-0.14314279925527285,High
Delhi,2026-01-04 07:21:22.505492,93.15,133.55,79.55,170.4,-0.022207473876214245,Medium
Delhi,2026-01-05 07:21:22.505492,223.9,338.65,48.78,273.7,-0.11382341041887045,High
Delhi,2026-01-07 07:21:22.505492,222.21,324.7,33.3,272.1,-0.11053278263826272,High
Delhi,2026-01-08 13:21:22.505492,280.25,494.53,50.15,324.7,-0.11018289539681392,High
Delhi,2026-01-10 13:21:22.505492,124.06,198.99,64.62,186.4,-0.01848478338899262,Medium
Delhi,2026-01-12 13:21:22.505492,102.82,182.38,57.47,175.4,-0.003674770151689599,Medium
Delhi,2026-01-14 13:21:22.505492,129.55,226.34,19.78,189.2,-0.02792928295514363,Medium
Delhi,2026-01-29 13:21:22.505492,241.26,382.59,22.3,290.9,-0.11996632552936637,High
Delhi,2026-01-31 13:21:22.505492,120.35,208.84,46.31,184.5,-0.026662963626058467,Medium
Delhi,2026-02-02 07:21:22.505492,115.01,198.07,34.34,181.7,-0.0020975243370573438,Medium
Delhi,2026-02-02 13:21:22.505492,104.24,186.38,45.01,176.2,-0.00026022619946175496,Medium
Delhi,2026-02-03 01:21:22.505492,189.26,327.13,33.13,239.4,-0.11114677419184793,High
Delhi,2026-02-03 07:21:22.505492,114.3,168.02,12.36,181.4,-0.019397689375415195,Medium
Delhi,2026-02-03 13:21:22.505492,123.54,190.51,47.99,186.1,-0.01241035562931847,Medium
Delhi,2026-02-05 13:21:22.505492,109.83,190.62,2.18,179.1,-0.016383155820341,Medium
Delhi,2026-02-09 13:21:22.505492,118.89,206.73,40.35,183.7,-0.02067608425384848,Medium
Delhi,2026-02-10 13:21:22.505492,121.27,217.28,36.98,185.0,-0.016630815155534884,Medium
Delhi,2026-02-10 19:21:22.505492,114.27,204.5,12.11,181.3,-0.006524052931369373,Medium
Delhi,2026-02-11 19:21:22.505492,119.86,188.34,54.86,184.2,-0.012372412545039069,Medium
Delhi,2026-02-12 07:21:22.505492,112.96,169.2,72.58,180.7,-0.00375226875613921,Medium
Delhi,2026-02-12 13:21:22.505492,221.56,380.84,31.05,271.4,-0.11172842486773515,High
Delhi,2026-02-16 13:21:22.505492,216.74,344.16,17.15,266.6,-0.12068832180122036,High
Delhi,2026-02-17 01:21:22.505492,108.87,166.09,54.89,178.6,-0.01401382499524162,Medium
Delhi,2026-02-18 19:21:22.505492,104.41,166.61,13.39,176.3,-0.019916533576863182,Medium
Delhi,2026-02-19 19:21:22.505492,97.04,172.91,54.65,172.4,-0.002318803159639171,Medium
Delhi,2026-02-21 07:21:22.505492,107.59,186.78,70.81,177.9,-0.018507579729654444,Medium
Delhi,2026-02-21 19:21:22.505492,120.51,209.31,19.59,184.6,-0.06911891160461203,Medium
Delhi,2026-02-23 07:21:22.505492,108.96,183.78,29.16,178.6,-0.00593500425215121,Medium
Delhi,2026-02-24 13:21:22.505492,129.76,233.15,26.49,189.3,-0.03730849230307509,Medium
Delhi,2026-02-27 13:21:22.505492,117.55,182.26,62.59,183.0,-0.05031853869672154,Medium
Delhi,2026-02-28 07:21:22.505492,106.09,162.26,46.51,177.1,-0.013222734020917226,Medium
Delhi,2026-02-28 13:21:22.505492,113.54,183.99,0.0,181.0,-0.028942018678444037,Medium
Delhi,2026-03-01 13:21:22.505492,133.16,195.94,41.75,191.1,-0.029021256608739998,Medium
Delhi,2026-03-02 13:21:22.505492,254.25,367.81,40.83,304.0,-0.11494734525411832,High
Delhi,2026-03-03 07:21:22.505492,118.48,201.68,22.04,183.5,-0.029830240316078283,Medium
Delhi,2026-03-03 13:21:22.505492,128.33,194.67,37.23,188.6,-0.026383695108266436,Medium
Delhi,2026-03-03 19:21:22.505492,122.3,182.84,32.2,185.5,-0.013049795666663089,Medium
Delhi,2026-03-05 07:21:22.505492,120.25,199.18,46.69,184.4,-0.03377545669180171,Medium
Delhi,2026-03-05 13:21:22.505492,245.56,400.68,50.71,295.2,-0.1073429508132947,High
Delhi,2026-03-06 19:21:22.505492,109.78,177.5,78.59,179.0,-0.06594371670657384,Medium
Delhi,2026-03-07 13:21:22.505492,110.33,160.65,37.8,179.3,-0.010409246249065696,Medium
Delhi,2026-03-13 13:21:22.505492,119.39,205.21,53.27,184.0,-0.0327751764991997,Medium
Delhi,2026-03-15 07:21:22.505492,124.54,203.87,43.68,186.6,-0.007880073388915387,Medium
Delhi,2026-03-15 13:21:22.505492,123.18,185.74,39.1,185.9,-0.006873321039956859,Medium
Delhi,2026-03-16 07:21:22.505492,112.61,167.41,8.74,180.5,-0.0022576078365704744,Medium
Delhi,2026-03-16 13:21:22.505492,110.18,178.77,31.68,179.2,-0.0018865583893270532,Medium
Delhi,2026-03-18 01:21:22.505492,89.01,149.13,64.01,168.3,-0.0009920187725087626,Medium
Delhi,2026-03-18 07:21:22.505492,117.44,196.44,60.23,183.0,-0.0017303385488341982,Medium
Delhi,2026-03-18 19:21:22.505492,231.91,376.48,32.54,281.7,-0.13161517955145963,High
Delhi,2026-03-19 13:21:22.505492,112.59,162.59,65.58,180.5,-0.018750105354075952,Medium
Delhi,2026-03-20 07:21:22.505492,236.77,395.73,30.54,286.5,-0.10759952509132209,High
Delhi,2026-03-20 13:21:22.505492,116.97,202.14,20.27,182.7,-0.024463109488832235,Medium
Delhi,2026-03-21 01:21:22.505492,112.49,188.85,10.76,180.4,-0.03129180024977929,Medium
Delhi,2026-03-21 07:21:22.505492,117.27,176.03,56.22,182.9,-0.00679176523445546,Medium
Delhi,2026-03-21 13:21:22.505492,112.25,162.86,47.87,180.3,-0.019323497107880616,Medium
Delhi,2026-03-22 07:21:22.505492,127.52,220.94,19.57,188.2,-0.047935181405606264,Medium
Delhi,2026-03-22 19:21:22.505492,109.67,191.97,34.03,179.0,-0.025920756780412724,Medium
Delhi,2026-03-24 13:21:22.505492,117.04,205.72,57.69,182.8,-0.0028377447691543267,Medium
Delhi,2026-03-26 19:21:22.505492,118.27,212.16,39.5,183.4,-0.06510369880778077,Medium
Delhi,2026-03-27 07:21:22.505492,114.74,197.38,11.88,181.6,-0.01955271150118354,Medium
Delhi,2026-03-28 01:21:22.505492,98.23,158.81,57.44,173.1,-0.011393512731358468,Medium
Delhi,2026-03-28 19:21:22.505492,118.29,187.81,25.41,183.4,-0.03114169623432006,Medium
Delhi,2026-03-29 13:21:22.505492,126.2,220.91,48.23,187.5,-0.024522556146474472,Medium
Delhi,2026-03-30 13:21:22.505492,111.62,200.31,15.08,180.0,-0.02775931535684939,Medium
Delhi,2026-03-31 19:21:22.505492,115.18,193.01,58.55,181.8,-0.03542603780855469,Medium
Delhi,2026-04-01 01:21:22.505492,120.85,200.59,40.17,184.7,-0.017853533575844405,Medium
Delhi,2026-04-03 01:21:22.505492,114.03,169.9,43.78,181.2,-0.012213634833563303,Medium
Delhi,2026-04-04 07:21:22.505492,114.68,205.2,4.17,181.6,-0.05436920179412574,Medium
Delhi,2026-04-06 13:21:22.505492,108.39,192.56,61.36,178.3,-0.02633766411851035,Medium
Delhi,2026-04-06 19:21:22.505492,97.35,137.95,32.8,172.6,-0.0077770945248661905,Medium
Delhi,2026-04-07 13:21:22.505492,129.5,217.45,34.73,189.2,-0.007358608532200717,Medium
Delhi,2026-04-08 07:21:22.505492,128.61,211.84,42.81,188.7,-0.008994271942795118,Medium
Delhi,2026-04-08 13:21:22.505492,117.68,197.58,17.74,183.1,-0.02822578148572763,Medium
Delhi,2026-04-09 13:21:22.505492,122.16,185.8,56.25,185.4,-0.05551205368142287,Medium
Delhi,2026-04-09 19:21:22.505492,133.91,214.57,59.44,191.5,-0.03848273366206356,Medium
Delhi,2026-04-10 07:21:22.505492,116.54,206.63,79.04,182.5,-0.06733604565365847,Medium
Delhi,2026-04-11 07:21:22.505492,127.97,216.96,0.0,188.4,-0.07314085326079955,Medium
Delhi,2026-04-11 13:21:22.505492,118.26,209.38,65.18,183.4,-0.06518096039527721,Medium
Delhi,2026-04-12 19:21:22.505492,108.2,185.53,18.16,178.2,-0.009651983825788024,Medium
Delhi,2026-04-13 19:21:22.505492,97.82,167.89,69.29,172.9,-0.008299808421513455,Medium
Delhi,2026-04-14 13:21:22.505492,113.71,178.88,50.88,181.1,-0.003059088299898316,Medium
Delhi,2026-04-14 19:21:22.505492,110.23,187.87,47.01,179.3,-0.016957732200069797,Medium
Delhi,2026-04-15 19:21:22.505492,226.48,350.98,21.23,276.3,-0.1185145956785787,High
Delhi,2026-04-16 13:21:22.505492,114.36,198.93,45.15,181.4,-0.013207250914934798,Medium
Delhi,2026-04-17 07:21:22.505492,116.0,183.07,64.56,182.2,-0.01600119341172146,Medium
Delhi,2026-04-17 13:21:22.505492,137.28,229.02,37.09,193.2,-0.023101621757187774,Medium
Delhi,2026-04-19 07:21:22.505492,118.28,212.03,31.42,183.4,-0.030397051071642034,Medium
Delhi,2026-04-19 13:21:22.505492,125.29,185.98,46.89,187.0,-0.021485147832310147,Medium
Delhi,2026-04-19 19:21:22.505492,119.61,191.05,1.71,184.1,-0.05598505317271674,Medium
Delhi,2026-04-20 07:21:22.505492,108.64,181.36,63.16,178.4,-0.03120620016906317,Medium
Delhi,2026-04-22 07:21:22.505492,131.01,233.91,23.94,190.0,-0.03205023404350216,Medium
Delhi,2026-04-22 13:21:22.505492,128.4,215.26,33.06,188.6,-0.0062403039398963855,Medium
Delhi,2026-04-24 13:21:22.505492,127.42,220.49,38.81,188.1,-0.01518841135348703,Medium
Delhi,2026-04-25 13:21:22.505492,109.06,195.39,50.58,178.7,-0.021803213785619557,Medium
Delhi,2026-04-26 01:21:22.505492,209.81,335.77,45.76,259.8,-0.09957874631070573,Medium
Delhi,2026-04-27 19:21:22.505492,123.5,205.3,84.18,186.1,-0.03255262180719154,Medium
Delhi,2026-04-29 13:21:22.505492,122.11,206.88,68.45,185.4,-0.016928209614325174,Medium
Delhi,2026-04-29 19:21:22.505492,118.19,200.03,36.32,183.4,-0.041190473127617366,Medium
Delhi,2026-04-30 01:21:22.505492,214.19,357.95,3.55,264.1,-0.1354423470630941,High
Delhi,2026-05-01 13:21:22.505492,114.99,193.53,12.62,181.7,-0.018759724072635264,Medium
Delhi,2026-05-03 01:21:22.505492,111.55,167.34,63.07,179.9,-0.00493849094062071,Medium
Delhi,2026-05-08 07:21:22.505492,234.05,348.46,39.57,283.8,-0.11388156435644803,High
Delhi,2026-05-08 13:21:22.505492,250.62,430.26,18.5,301.1,-0.13983150847745873,High
Delhi,2026-05-09 07:21:22.505492,123.73,210.93,49.77,186.2,-0.0014564158981541508,Medium
Delhi,2026-05-10 01:21:22.505492,102.61,159.79,16.34,175.3,-0.020520296821245454,Medium
Delhi,2026-05-11 13:21:22.505492,143.35,222.95,54.11,196.4,-0.024014181631774156,Medium
Delhi,2026-05-12 07:21:22.505492,243.06,392.52,49.29,292.7,-0.12019183945689049,High
Delhi,2026-05-12 13:21:22.505492,110.57,169.76,44.78,179.4,-0.022841912174340173,Medium
Delhi,2026-05-13 13:21:22.505492,131.95,216.36,35.45,190.5,-0.008556920285198388,Medium
Delhi,2026-05-14 13:21:22.505492,128.7,187.87,66.34,188.8,-0.046448265429944735,Medium
Delhi,2026-05-14 19:21:22.505492,100.54,170.08,19.0,174.3,-0.002688370505769977,Medium
Delhi,2026-05-16 07:21:22.505492,129.09,191.34,82.64,189.0,-0.04448240045635621,Medium
Delhi,2026-05-16 13:21:22.505492,105.63,189.04,1.33,176.9,-0.049745686339963124,Medium
